36,240,17,53,53
1211,240,17,53,80
852,574,6,23,53
404,765,6,22,25
729,586,6,20,443
528,48,6,80,25
46,665,17,80,25
32,217,89,443,53
528,869,6,22,25
389,47,1,53,443
416,556,17,53,25
642,707,17,25,79
590,645,17,22,79
716,74,89,25,80
266,826,6,53,80
357,737,17,22,53
993,419,17,80,53
462,506,17,23,80
186,850,6,68,53
272,609,89,53,20
391,927,17,25,25
239,537,6,443,443
48,784,6,23,68
917,214,17,443,53
139,584,17,22,79
226,374,6,25,22
409,650,6,80,23
256,542,17,25,80
871,455,6,53,22
309,712,6,80,20
976,424,6,22,80
622,465,1,25,22
53,293,17,79,25
250,135,6,53,443
167,716,6,25,22
140,519,6,443,23
61,625,6,443,53
459,655,17,22,25
317,452,6,25,80
159,455,6,80,80
283,293,17,80,80
444,25,6,443,53
432,845,1,25,23
567,999,6,80,22
390,867,1,25,79
375,715,6,53,443
153,916,6,23,25
753,944,6,80,443
885,620,17,68,23
432,816,6,443,443
684,845,17,80,80
412,573,17,79,80
422,462,17,79,443
634,659,17,53,79
369,801,17,443,23
275,601,1,25,25
916,861,1,53,25
34,483,17,25,22
36,58,17,22,22
206,990,6,53,53
509,670,17,23,20
928,37,1,443,80
675,494,17,20,53
658,445,6,22,443
143,595,1,23,20
257,654,17,443,53
89,109,6,23,53
46,900,6,80,23
902,314,6,80,25
526,39,6,80,80
14,223,17,443,80
70,81,17,22,22
774,530,89,80,53
113,273,17,68,23
735,129,17,79,80
348,418,1,80,23
782,66,17,22,25
815,947,17,80,25
200,427,17,80,53
1211,240,17,53,80
933,340,17,53,20
485,68,17,53,22
984,151,89,53,443
738,639,1,443,53
952,970,17,23,443
135,807,6,23,443
878,876,17,80,53
702,977,1,53,20
481,658,17,80,25
486,452,1,80,53
689,244,17,53,53
96,343,1,443,22
962,921,6,79,53
588,610,17,80,443
410,201,6,80,23
108,284,17,79,53
537,952,17,22,20
416,805,1,80,80
146,717,1,80,80
338,545,6,79,20
763,201,89,80,53
169,686,89,443,443
79,399,6,80,80
785,48,6,80,443
826,305,6,53,80
833,715,17,20,53
417,805,6,79,23
267,62,1,443,80
239,205,89,25,22
967,172,1,20,23
30,336,17,80,79
676,680,6,53,80
825,488,6,53,22
915,388,1,22,22
35,399,6,23,25
730,263,6,23,53
964,943,6,80,22
838,113,17,443,79
428,158,6,80,443
718,357,17,20,443
799,760,6,443,25
102,950,6,80,80
787,354,17,79,443
983,253,6,443,20
154,611,17,25,79
790,677,17,20,20
927,295,6,80,22
795,32,89,80,23
370,794,17,80,20
829,90,17,25,20
459,397,6,53,20
444,407,1,80,20
133,963,89,80,53
664,31,1,53,23
67,460,17,22,80
779,616,1,23,25
85,810,6,80,22
635,431,6,22,22
445,257,6,68,80
221,518,6,53,20
869,897,6,20,53
896,526,6,443,20
898,567,6,53,53
471,14,17,80,23
524,28,17,25,23
114,623,1,80,20
198,398,6,80,53
783,389,6,443,53
438,268,17,22,443
847,133,6,443,79
908,557,6,80,20
390,273,17,68,53
275,152,17,443,20
328,116,6,53,23
809,799,1,80,443
199,636,17,53,443
287,483,17,79,443
470,381,17,80,53
302,414,6,23,80
126,273,17,25,53
100,327,6,20,25
437,211,17,22,53
263,894,17,20,25
188,997,1,53,443
268,17,6,80,443
203,524,6,20,22
369,104,17,443,443
594,350,6,443,80
251,470,17,443,80
36,500,1,53,80
862,223,6,443,23
438,116,6,80,68
441,16,17,53,53
404,222,6,53,25
99,785,17,22,53
509,627,17,80,20
73,818,17,23,68
1211,240,17,53,80
460,50,17,53,23
215,89,17,53,23
89,250,17,68,79
133,844,89,68,80
596,820,17,443,25
883,53,1,80,443
810,617,17,80,23
486,140,6,25,80
182,480,17,25,53
351,208,6,80,443
566,473,17,25,25
670,642,17,25,20
119,842,6,53,80
926,82,1,53,25
370,280,1,80,443
640,385,89,80,20
960,269,6,80,22
396,885,1,80,79
445,191,6,68,443
677,275,17,80,23
105,564,1,443,53
717,450,6,443,22
181,449,6,25,443
83,93,89,53,20
827,300,17,68,443
80,741,89,25,20
97,545,89,53,80
796,474,17,80,22
705,525,17,53,20
877,738,6,20,80
421,827,1,80,25
965,240,6,80,20
352,175,17,53,23
434,280,17,22,79
84,992,17,53,443
983,526,17,443,25
439,625,6,23,80
305,241,1,23,80
443,704,6,80,22
570,573,17,79,79
17,743,6,25,22
584,65,6,25,22
751,453,17,22,53
275,403,6,68,20
637,746,17,22,22
845,765,17,53,443
34,618,6,79,25
885,979,6,22,80
109,222,17,443,23
344,788,6,80,443
984,517,17,80,79
986,916,1,22,53
805,149,17,25,22
420,719,6,80,80
361,927,6,20,443
160,185,1,53,22
704,971,17,22,22
919,518,17,25,80
460,745,6,68,53
348,491,6,53,23
955,490,89,25,80
32,510,6,80,80
234,830,17,443,25
782,241,17,23,79
65,944,6,53,53
678,99,17,20,80
780,73,17,53,23
532,876,17,23,53
377,339,6,53,53
34,142,6,68,53
452,672,6,80,25
496,221,17,79,80
506,595,89,443,25
951,542,17,443,80
525,107,6,80,53
595,80,6,53,53
279,375,6,443,80
755,53,6,53,20
272,529,17,443,53
891,428,6,53,443
618,117,6,23,80
39,842,6,53,443
593,407,17,80,53
651,739,1,80,80
947,209,17,22,443
239,874,6,22,23
126,689,89,79,53
473,92,6,20,20
55,665,17,68,80
815,816,17,80,23
108,832,17,53,80
859,152,89,53,80
103,654,17,79,53
358,228,6,68,23
944,88,6,443,22
253,3,17,53,20
977,247,17,53,25
851,36,6,80,53
968,271,17,80,53
925,734,6,80,53
878,440,6,20,53
648,963,17,25,20
373,709,6,53,22
371,45,6,79,443
132,66,6,22,22
103,673,17,79,53
510,419,17,53,443
733,472,17,23,80
377,215,89,443,53
676,168,6,53,53
594,60,17,68,443
606,215,17,25,80
990,380,89,53,80
404,704,17,53,20
436,255,1,443,53
413,330,17,79,68
501,718,1,80,79
178,96,17,20,53
70,8,17,79,68
323,467,6,22,443
497,704,6,80,23
634,624,6,80,22
819,237,1,443,22
240,620,89,22,53
278,637,6,443,53
26,8,6,22,68
940,60,17,53,23
521,758,17,23,25
537,534,6,53,68
796,239,6,22,53
135,814,6,20,80
173,495,17,443,20
342,78,6,22,53
992,91,17,80,25
115,964,17,53,79
591,312,17,25,53
281,739,17,23,443
16,909,17,53,80
760,106,6,80,80
186,39,17,53,22
837,667,17,53,22
836,578,17,53,80
713,243,6,53,25
91,859,17,80,80
998,560,6,443,80
391,805,6,53,23
162,675,17,22,20
246,322,17,22,53
651,342,6,22,53
849,694,6,443,22
790,938,6,25,23
415,835,6,25,80
832,889,17,53,80
675,77,17,80,80
677,114,6,20,25
266,765,17,22,443
838,387,17,20,80
716,59,6,25,80
491,458,89,53,23
994,238,6,22,80
450,819,6,20,443
822,188,6,79,80
680,593,17,53,53
801,361,17,53,25
177,16,17,22,53
622,905,6,20,22
592,717,17,80,79
413,719,17,53,20
742,122,1,53,79
842,496,17,53,80
1211,240,17,53,80
789,280,6,80,53
21,560,6,443,53
29,615,17,68,20
772,736,6,25,443
973,424,6,443,25
338,22,6,53,22
699,420,17,53,443
316,263,1,80,22
265,700,6,20,80
435,757,89,80,20
827,722,17,80,25
818,866,17,25,53
637,740,6,22,22
889,505,17,53,22
914,3,6,25,80
622,893,6,53,53
822,2,6,23,22
221,173,1,443,53
772,492,6,20,80
262,953,17,23,23
405,420,17,25,443
492,158,17,80,53
448,629,17,443,23
430,701,17,25,80
298,151,17,53,80
567,733,17,22,20
376,574,6,443,80
259,974,6,443,80
291,629,6,443,53
877,976,17,79,22
532,131,1,80,23
384,255,6,53,80
544,146,17,80,68
203,409,6,53,443
244,449,6,443,20
600,928,1,20,53
667,665,6,25,79
3,616,6,53,53
81,709,17,20,23
832,891,17,22,80
769,713,17,25,80
715,536,6,25,53
996,731,1,68,23
12,881,6,443,53
697,98,6,20,80
714,98,1,443,79
784,240,6,79,443
326,561,17,53,79
326,231,17,22,443
